tconst	titleType	genres	runtimeMinutes	startYear	endYear	durationYears	nEpisodes	isAdult	averageRating	numVotes
tt0025509	tvSeries	Drama	279	1934	1934	0	3	0	8.3	1766
tt0039123	tvSeries	Drama	60	1947	1958	11	589	0	8.5	187
tt0040051	tvSeries	Drama	60	1948	1958	10	467	0	7.8	274
tt0040053	tvSeries	Music,Talk-Show	60	1948	1971	23	1070	0	7.8	1354
tt0041024	tvSeries	Comedy,Drama,Music	30	1952	1957	5	195	0	8.3	253
tt0041027	tvSeries	Comedy	30	1949	1957	8	92	0	7.9	181
tt0041030	tvSeries	Family,Western	60	1952	1954	2	52	0	7.8	333
tt0041037	tvSeries	Horror,Mystery,Sci-Fi	30	1946	1952	6	160	0	7.1	164
tt0041038	tvSeries	Western	30	1949	1957	8	221	0	7.7	2433
tt0041039	tvSeries	Comedy,Drama,Family	30	1949	1957	8	178	0	8.1	159
tt0041061	tvSeries	Drama,Mystery,Thriller	25	1949	1954	5	262	0	8.1	285
tt0042093	tvSeries	Western	30	1950	1956	6	156	0	7.3	558
tt0042094	tvSeries	Comedy,Romance	60	1950	1955	5	223	0	7.5	546
tt0042106	tvSeries	Comedy	60	1950	\N	\N	121	0	8.2	164
tt0042110	tvSeries	Family,Western	30	1950	1955	5	91	0	7.5	211
tt0042111	tvSeries	Comedy	30	1950	1958	8	292	0	8.5	1358
tt0042114	tvSeries	Comedy,Family	30	1955	1956	1	39	0	8.5	5367
tt0042116	tvSeries	Comedy	30	1950	1965	15	261	0	8.5	1434
tt0042168	tvSeries	Family,Game-Show	30	1950	1967	17	877	0	8.6	1540
tt0042171	tvSeries	Comedy,Family,Game-Show	30	1950	1961	11	210	0	8.4	668
tt0042173	tvSeries	Comedy	90	1950	1954	4	151	0	8.4	337
tt0043170	tvSeries	Family,Western	30	1951	1958	7	113	0	7.9	201
tt0043175	tvSeries	Comedy	30	1951	1953	2	78	0	8.4	733
tt0043192	tvSeries	Music	60	1956	1963	7	200	0	8.6	230
tt0043194	tvSeries	Crime,Drama,Mystery	30	1951	1959	8	276	0	7.5	2021
tt0043208	tvSeries	Comedy,Family	30	1951	1957	6	181	0	8.4	25409
tt0043224	tvSeries	Comedy	60	1951	2016	65	657	0	8.2	1227
tt0043225	tvSeries	Family,Western	30	1951	1957	6	105	0	7.2	684
tt0043228	tvSeries	Comedy,Drama	30	1951	1959	8	364	0	8.3	314
tt0043229	tvSeries	Drama,Romance	30	1951	1986	35	4209	0	7.7	296
tt0043232	tvSeries	Adventure,Family,Western	30	1951	1962	11	72	0	7.7	467
tt0043238	tvSeries	Drama,Horror,Mystery	25	1951	1953	2	85	0	7.2	360
tt0044229	tvSeries	Comedy,Family,Mystery	25	1952	1957	5	52	0	8.2	1197
tt0044230	tvSeries	Comedy,Drama,Family	30	1952	1966	14	436	0	7.4	1345
tt0044231	tvSeries	Action,Adventure,Crime	30	1952	1958	6	104	0	7.7	3808
tt0044259	tvSeries	Western	25	1952	1970	18	452	0	7.6	830
tt0044263	tvSeries	Comedy,Crime,Drama	30	1952	1956	4	130	0	7.8	194
tt0044265	tvSeries	Drama,Romance	60	1952	2009	57	3138	0	6.4	1654
tt0044266	tvSeries	Comedy,Drama	\N	1951	1952	1	40	0	8.3	319
tt0044269	tvSeries	Comedy	30	1952	1955	3	98	0	7.9	355
tt0044270	tvSeries	Family,Game-Show	30	1952	1967	15	1224	0	8.0	519
tt0044272	tvSeries	Comedy	60	1952	1973	21	166	0	8.4	461
tt0044277	tvSeries	Comedy,Drama,Mystery	30	1952	1954	2	57	0	7.6	197
tt0044283	tvSeries	Comedy	30	1952	1955	3	126	0	7.7	374
tt0044284	tvSeries	Drama,History,Music	55	1952	1961	9	159	0	8.5	195
tt0044287	tvSeries	Comedy,Family	30	1952	1956	4	130	0	8.1	577
tt0044296	tvSeries	Biography,Family,Reality-TV	30	1950	1987	37	350	0	7.6	287
tt0044298	tvSeries	News,Talk-Show	240	1952	\N	\N	5382	0	4.4	2042
tt0045373	tvSeries	Comedy,Family	60	1950	\N	\N	152	0	6.6	241
tt0045382	tvSeries	Action,Adventure,Sci-Fi	30	1953	\N	\N	12	0	6.0	167
tt0045395	tvSeries	Comedy,Drama	30	1953	1962	9	303	0	5.8	385
tt0045406	tvSeries	Comedy	30	1953	1958	5	219	0	8.1	382
tt0045407	tvSeries	Comedy	30	1952	1955	3	40	0	7.4	296
tt0045409	tvSeries	Drama	30	1953	1961	8	257	0	7.8	251
tt0045410	tvSeries	Comedy,Family	30	1953	1965	12	343	0	7.2	1039
tt0045431	tvSeries	Documentary,News	30	1953	1961	8	322	0	8.5	214
tt0045435	tvSeries	Comedy	30	1953	1957	4	107	0	8.0	180
tt0045436	tvSeries	Drama,Horror,Sci-Fi	30	1953	1953	0	6	0	7.3	353
tt0045447	tvSeries	Comedy,Fantasy	30	1953	1955	2	78	0	8.3	498
tt0045449	tvSeries	Comedy,Drama	60	1953	1963	10	251	0	8.4	162
tt0045458	tvSeries	Drama,History	30	1953	1972	19	160	0	8.5	181
tt0046415	tvSeries	Adventure,Drama,Romance	183	1954	1954	0	2	0	7.2	959
tt0046576	tvSeries	Family,Western	30	1954	1959	5	164	0	7.1	749
tt0046578	tvSeries	Western	30	1954	1957	3	81	0	7.3	321
tt0046584	tvSeries	Comedy	60	1954	1957	3	72	0	6.9	184
tt0046587	tvSeries	Drama	60	1954	1958	4	166	0	6.9	215
tt0046588	tvSeries	Crime,Drama,Mystery	30	1954	1956	2	26	0	7.4	229
tt0046592	tvSeries	Comedy	30	1954	1959	5	157	0	8.0	236
tt0046593	tvSeries	Adventure,Drama,Family	120	1954	1997	43	736	0	8.4	1946
tt0046600	tvSeries	Comedy,Family	30	1954	1960	6	204	0	7.4	2251
tt0046617	tvSeries	Adventure,Drama,Family	30	1954	1974	20	591	0	6.6	3260
tt0046623	tvSeries	Drama	30	1954	1956	2	59	0	8.2	156
tt0046637	tvSeries	Comedy,Drama,Family	90	1954	1957	3	38	0	8.0	158
tt0046639	tvSeries	Family,Sci-Fi	26	1954	1954	0	39	0	5.5	192
tt0046641	tvSeries	Drama,Romance	30	1954	1974	20	5201	0	3.7	252
tt0046642	tvSeries	Crime,Drama,Mystery	30	1954	1955	1	39	0	7.7	927
tt0046647	tvSeries	Western	30	1954	\N	\N	39	0	7.3	165
tt0046648	tvSeries	Drama,Family	30	1954	1958	4	138	0	9.1	232
tt0046652	tvSeries	Comedy,Music,Talk-Show	105	1953	1957	4	597	0	7.1	201
tt0046658	tvSeries	Action,Documentary,War	30	1952	1953	1	26	0	8.5	615
tt0047702	tvSeries	Drama	60	1955	1957	2	37	0	8.4	209
tt0047705	tvSeries	Adventure,Family	30	1955	1957	2	26	0	7.4	157
tt0047706	tvSeries	Action,Adventure,Family	30	1955	1960	5	144	0	7.7	765
tt0047708	tvSeries	Comedy,Crime,Drama	25	1955	1962	7	268	0	8.5	16628
tt0047714	tvSeries	Family	30	1952	1970	18	692	0	4.7	193
tt0047718	tvSeries	Family	60	1955	1992	37	1234	0	8.0	1353
tt0047720	tvSeries	Western	60	1955	1963	8	108	0	7.9	1661
tt0047728	tvSeries	Crime,Drama	45	1955	1976	21	432	0	6.8	247
tt0047734	tvSeries	Family,Western	30	1955	1960	5	116	0	7.4	491
tt0047736	tvSeries	Western	60	1955	1975	20	635	0	8.0	6641
tt0047739	tvSeries	Action,Crime,Drama	30	1955	1959	4	156	0	7.6	1186
tt0047747	tvSeries	Action,Adventure,Crime	20	1955	1956	1	26	0	7.9	217
tt0047749	tvSeries	Family,Music	60	1955	1982	27	1138	0	7.0	449
tt0047750	tvSeries	Western	30	1955	1961	6	226	0	7.6	885
tt0047752	tvSeries	Comedy	30	1955	1959	4	167	0	7.9	403
tt0047757	tvSeries	Comedy,Drama,Family	60	1955	1958	3	331	0	7.7	757
tt0047758	tvSeries	Drama	30	1955	1960	5	207	0	7.9	514
tt0047762	tvSeries	Comedy	30	1955	1958	3	104	0	8.1	157
tt0047763	tvSeries	Comedy,Family	30	1955	1959	4	143	0	8.4	1532
tt0047767	tvSeries	Drama,Sci-Fi	25	1955	1957	2	78	0	8.3	368
tt0047775	tvSeries	Adventure,Family,Western	\N	1955	1955	0	26	0	8.1	290
tt0048840	tvSeries	Adventure,Western	30	1956	1958	2	76	0	7.1	235
tt0048841	tvSeries	Adventure,Family	30	1956	1957	1	30	0	7.1	157
tt0048845	tvSeries	Drama,Romance	60	1956	2010	54	3813	0	6.1	2031
tt0048848	tvSeries	Western	30	1956	1958	2	72	0	7.7	223
tt0048855	tvSeries	Adventure,Family,Western	30	1956	1958	2	49	0	7.3	221
tt0048860	tvSeries	Crime,Drama,Mystery	30	1956	1984	28	6644	0	7.8	396
tt0048863	tvSeries	Comedy	30	1956	1960	4	127	0	8.0	203
tt0048887	tvSeries	Adventure,Western	30	1955	1960	5	39	0	7.4	156
tt0048892	tvSeries	Crime	30	1955	1959	4	41	0	7.2	152
tt0048893	tvSeries	Comedy,Crime,Drama	90	1956	1961	5	134	0	8.3	359
tt0048894	tvSeries	Family,Game-Show	30	1956	1965	9	213	0	7.2	251
tt0048899	tvSeries	Comedy	60	1951	1960	9	164	0	8.1	242
tt0048903	tvSeries	Drama	30	1956	1958	2	81	0	8.1	228
tt0048907	tvSeries	Family,Game-Show	30	1956	1968	12	801	0	7.6	477
tt0048916	tvSeries	Western	25	1956	1961	5	146	0	7.6	479
tt0049993	tvSeries	Music,Talk-Show	90	1952	1989	37	1668	0	7.7	346
tt0049996	tvSeries	Comedy,Family	30	1957	1962	5	157	0	7.4	464
tt0050010	tvSeries	Crime,Drama	30	1957	1958	1	39	0	7.8	258
tt0050022	tvSeries	Adventure,Animation,Comedy	30	1956	1969	13	125	0	7.0	1489
tt0050025	tvSeries	Western	25	1957	1963	6	225	0	8.4	2715
tt0050026	tvSeries	Adventure,Western	30	1957	1957	0	39	0	7.6	227
tt0050030	tvSeries	Comedy,Family,Talk-Show	105	1957	1962	5	1159	0	8.4	307
tt0050032	tvSeries	Comedy,Family	30	1957	1963	6	236	0	7.5	7806
tt0050033	tvSeries	Comedy,Family	60	1957	1960	3	13	0	8.4	1135
tt0050035	tvSeries	Crime,Drama,Thriller	30	1957	1960	3	117	0	8.2	339
tt0050037	tvSeries	Comedy,Western	60	1957	1962	5	124	0	8.0	3013
